City_ID,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Vostok,46.4856,135.8833,33.1,68,89,5.12,RU,2022-04-15 21:33:51
95,Mandal,25.45,74.5667,81.05,23,0,8.7,IN,2022-04-15 21:33:51
96,Narsaq,60.9167,-46.05,32.22,72,68,4.34,GL,2022-04-15 21:33:51
97,Mar Del Plata,-38.0023,-57.5575,63.09,85,0,20.0,AR,2022-04-15 21:33:14
98,Tiksi,71.6872,128.8694,-4.34,100,100,3.62,RU,2022-04-15 21:33:52
99,Egvekinot,66.3167,-179.1667,18.61,85,83,16.87,RU,2022-04-15 21:33:52
100,Provideniya,64.3833,-173.3,32.85,95,100,28.48,RU,2022-04-15 21:33:53
101,Dospat,41.65,24.1667,43.75,88,35,3.2,BG,2022-04-15 21:33:53
102,Dhidhdhoo,6.8833,73.1,84.11,72,35,9.01,MV,2022-04-15 21:33:53
103,Hithadhoo,-0.6,73.0833,82.63,67,73,2.91,MV,2022-04-15 21:33:54
104,Haines Junction,60.7522,-137.5108,37.35,30,2,6.91,CA,2022-04-15 21:29:07
105,Saint-Philippe,-21.3585,55.7679,74.79,87,49,14.14,RE,2022-04-15 21:33:54
106,Navrongo,10.8956,-1.0921,87.76,48,95,13.51,GH,2022-04-15 21:33:55
107,Kafue,-15.7691,28.1814,68.52,80,99,3.04,ZM,2022-04-15 21:33:55
108,Pelym,61.0108,61.9978,31.66,96,100,6.44,RU,2022-04-15 21:33:55
109,Filadelfia,39.9523,-75.1638,70.5,21,20,18.41,US,2022-04-15 21:32:42
110,Lompoc,34.6391,-120.4579,72.7,71,0,25.01,US,2022-04-15 21:33:56
111,Moranbah,-22.0016,148.0466,68.88,71,0,11.16,AU,2022-04-15 21:33:56
112,Avarua,-21.2078,-159.775,78.85,89,75,3.44,CK,2022-04-15 21:33:56
113,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.79,64,75,4.47,RU,2022-04-15 21:33:57
114,Upernavik,72.7868,-56.1549,-8.39,97,10,9.13,GL,2022-04-15 21:33:57
115,Kunya,12.2233,8.5325,83.8,41,41,9.95,NG,2022-04-15 21:33:57
116,Saint-Pierre,-21.3393,55.4781,74.88,79,0,6.91,RE,2022-04-15 21:32:37
117,Hasaki,35.7333,140.8333,46.8,86,100,33.17,JP,2022-04-15 21:33:58
118,Palana,59.1167,159.9667,23.0,90,98,13.04,RU,2022-04-15 21:33:58
119,Sitka,57.0531,-135.33,44.49,57,20,8.05,US,2022-04-15 21:33:59
120,Satka,55.0425,59.04,38.48,94,100,11.23,RU,2022-04-15 21:33:59
121,Bad Aibling,47.8638,12.0106,53.28,77,64,3.42,DE,2022-04-15 21:33:59
122,Avera,33.194,-82.5271,78.55,43,10,8.46,US,2022-04-15 21:34:00
123,Toyooka,35.5333,134.8333,46.94,83,100,12.21,JP,2022-04-15 21:34:00
124,Komsomolskiy,40.4272,71.7189,63.32,48,2,9.22,UZ,2022-04-15 21:34:00
125,Taperoa,-7.2075,-36.8267,79.16,59,94,6.87,BR,2022-04-15 21:34:01
126,Dudinka,69.4058,86.1778,25.63,95,29,12.73,RU,2022-04-15 21:34:01
127,Bengkulu,-3.8004,102.2655,76.71,89,100,3.74,ID,2022-04-15 21:34:02
128,Puerto Ayora,-0.7393,-90.3518,78.76,82,90,10.4,EC,2022-04-15 21:34:02
129,Cloquet,46.7216,-92.4594,28.62,56,100,12.66,US,2022-04-15 21:34:02
130,Parfino,57.9731,31.6481,34.93,92,94,7.7,RU,2022-04-15 21:34:03
131,Erzurum,40.0,41.5,21.49,90,36,1.57,TR,2022-04-15 21:34:03
132,Kokopo,-4.352,152.2633,80.35,77,59,2.46,PG,2022-04-15 21:34:04
133,Hoi An,15.8794,108.335,80.56,96,44,4.61,VN,2022-04-15 21:34:04
134,Westport,41.1415,-73.3579,68.34,33,0,16.11,US,2022-04-15 21:34:04
135,Kharan,28.5833,65.4167,79.21,12,7,5.66,PK,2022-04-15 21:34:05
136,La Seyne-Sur-Mer,43.0982,5.8847,65.88,75,6,1.43,FR,2022-04-15 21:34:05
137,Victoria,22.2855,114.1577,73.33,78,98,18.01,HK,2022-04-15 21:30:22
138,Lebu,-37.6167,-73.65,55.67,83,17,12.88,CL,2022-04-15 21:35:06
139,Muncar,-8.4333,114.3333,76.24,93,75,2.8,ID,2022-04-15 21:35:06
140,East London,-33.0153,27.9116,62.04,64,100,12.55,ZA,2022-04-15 21:33:11
141,Cabo San Lucas,22.8909,-109.9124,86.61,32,40,6.91,MX,2022-04-15 21:32:13
142,Saskylakh,71.9167,114.0833,-13.81,100,94,6.62,RU,2022-04-15 21:35:07
143,Bambous Virieux,-20.3428,57.7575,77.25,78,75,14.97,MU,2022-04-15 21:35:07
144,Saint-Leu,-21.15,55.2833,74.26,76,64,4.79,RE,2022-04-15 21:35:07
145,Khandyga,62.6667,135.6,8.73,83,22,3.22,RU,2022-04-15 21:35:08
146,Ballachulish,56.6774,-5.1308,52.41,91,100,3.51,GB,2022-04-15 21:35:08
147,Lixourion,38.2019,20.4314,60.71,63,100,3.09,GR,2022-04-15 21:35:08
148,Cayenne,4.9333,-52.3333,82.09,1,20,8.05,GF,2022-04-15 21:35:09
149,Roebourne,-20.7833,117.1333,83.28,66,64,3.94,AU,2022-04-15 21:31:03
150,Gravdal,68.1214,13.5031,38.75,75,100,16.89,NO,2022-04-15 21:35:09
151,Sisimiut,66.9395,-53.6735,16.02,69,4,10.92,GL,2022-04-15 21:35:10
152,Huilong,31.8111,121.655,52.93,63,99,9.93,CN,2022-04-15 21:35:10
153,Kavos,38.8268,22.8322,61.21,64,100,2.01,GR,2022-04-15 21:35:11
154,Camacha,33.0833,-16.3333,58.42,88,20,12.66,PT,2022-04-15 21:31:37
155,Isangel,-19.55,169.2667,82.51,78,63,5.75,VU,2022-04-15 21:35:11
156,Biak,-0.9131,122.8766,76.84,83,97,2.57,ID,2022-04-15 21:35:11
157,Kahului,20.8947,-156.47,82.42,66,40,24.16,US,2022-04-15 21:34:45
158,Ponta Do Sol,32.6667,-17.1,67.01,65,100,3.33,PT,2022-04-15 21:35:12
159,Sao Felix Do Xingu,-6.6447,-51.995,74.05,96,99,1.14,BR,2022-04-15 21:35:12
160,Apricena,41.7839,15.4437,53.42,74,97,2.95,IT,2022-04-15 21:35:13
161,Thap Khlo,16.16,100.5966,84.83,55,24,6.6,TH,2022-04-15 21:35:13
162,Aguada De Pasajeros,22.385,-80.8508,81.05,68,72,2.66,CU,2022-04-15 21:35:13
163,Mandurah,-32.55,115.7,61.57,79,30,11.41,AU,2022-04-15 21:35:14
164,Sorong,-0.8833,131.25,80.1,84,100,8.43,ID,2022-04-15 21:35:14
165,Rzhev,56.2624,34.3282,34.95,96,100,10.31,RU,2022-04-15 21:35:14
166,Carnarvon,-24.8667,113.6333,69.87,83,46,5.75,AU,2022-04-15 21:35:15
167,New Norfolk,-42.7826,147.0587,51.71,67,95,1.92,AU,2022-04-15 21:35:15
168,Arraial Do Cabo,-22.9661,-42.0278,73.26,64,20,19.57,BR,2022-04-15 21:35:16
169,Izumo,35.3667,132.7667,49.95,62,75,13.8,JP,2022-04-15 21:35:16
170,Nuuk,64.1835,-51.7216,20.88,62,28,25.99,GL,2022-04-15 21:35:16
171,Dunedin,-45.8742,170.5036,57.79,75,79,17.0,NZ,2022-04-15 21:34:25
172,Mamu Kanjan,30.8333,72.8,78.67,22,0,6.6,PK,2022-04-15 21:35:17
173,Corowa,-36.0333,146.3833,56.01,68,9,4.27,AU,2022-04-15 21:35:17
174,Katsuura,35.1333,140.3,50.02,86,100,26.17,JP,2022-04-15 21:35:18
175,Okmulgee,35.6234,-95.9605,80.46,53,75,10.36,US,2022-04-15 21:35:18
176,Kongolo,-5.3833,27.0,69.19,99,100,2.93,CD,2022-04-15 21:35:18
177,Dukat,62.55,155.55,10.11,93,98,4.63,RU,2022-04-15 21:35:19
178,Kodiak,57.79,-152.4072,40.51,87,100,9.22,US,2022-04-15 21:35:19
179,Roma,43.2128,-75.4557,59.95,45,100,7.0,US,2022-04-15 21:35:19
180,Nanjing,32.0617,118.7778,51.71,60,100,5.41,CN,2022-04-15 21:35:20
181,Saint-Joseph,-21.3667,55.6167,73.78,83,36,13.4,RE,2022-04-15 21:35:20
182,La Ronge,55.1001,-105.2842,28.62,31,75,3.44,CA,2022-04-15 21:30:21
183,Hilo,19.7297,-155.09,82.27,85,100,4.0,US,2022-04-15 21:36:21
184,Esperance,-33.8667,121.9,55.24,79,39,10.25,AU,2022-04-15 21:36:21
185,Timizart,36.8,4.2667,54.27,97,100,2.62,DZ,2022-04-15 21:36:21
186,Boa Vista,2.8197,-60.6733,78.78,83,75,5.75,BR,2022-04-15 21:35:42
187,Alekseyevka,50.6309,38.6903,48.51,70,66,5.95,RU,2022-04-15 21:36:22
188,Ribeira Grande,38.5167,-28.7,60.37,69,100,11.43,PT,2022-04-15 21:36:22
189,Yantal,56.8471,105.2542,33.51,98,100,2.3,RU,2022-04-15 21:32:41
190,Urengoy,65.9667,78.3667,26.02,94,100,1.99,RU,2022-04-15 21:36:23
191,Voznesenye,61.0106,35.4781,29.52,88,100,10.42,RU,2022-04-15 21:36:23
192,Japura,-0.3167,102.35,74.25,98,100,2.19,ID,2022-04-15 21:36:24
193,Sola,-13.8833,167.55,83.07,84,40,0.0,VU,2022-04-15 21:36:24
194,Acapulco,16.8634,-99.8901,85.82,66,40,11.5,MX,2022-04-15 21:36:24
195,Breves,-1.6822,-50.4803,75.45,95,100,2.91,BR,2022-04-15 21:36:25
196,Bhimunipatnam,17.8833,83.4333,83.71,81,98,11.1,IN,2022-04-15 21:36:25
197,Buraydah,26.326,43.975,79.25,41,59,14.14,SA,2022-04-15 21:36:25
198,Chuy,-33.6971,-53.4616,62.53,74,65,7.18,UY,2022-04-15 21:36:26
199,Sheltozero,61.3667,35.3667,27.39,89,81,8.75,RU,2022-04-15 21:36:26
200,Alice Springs,-23.7,133.8833,69.22,32,20,0.0,AU,2022-04-15 21:36:24
201,Huarmey,-10.0681,-78.1522,70.21,76,20,12.82,PE,2022-04-15 21:32:39
202,Sao Joao Da Barra,-21.6403,-41.0511,73.49,62,97,20.74,BR,2022-04-15 21:36:27
203,Warmbad,-28.45,18.7333,63.45,28,0,4.9,NA,2022-04-15 21:36:27
204,Marsa Matruh,31.3525,27.2453,59.2,82,0,4.61,EG,2022-04-15 21:33:01
205,Cockburn Town,21.4612,-71.1419,77.56,80,20,22.79,TC,2022-04-15 21:36:28
206,Dingle,10.9995,122.6711,75.81,89,89,2.93,PH,2022-04-15 21:36:28
207,Boyolangu,-8.1181,111.8935,74.53,90,68,0.63,ID,2022-04-15 21:36:28
208,Catemaco,18.4167,-95.1167,90.88,47,27,6.35,MX,2022-04-15 21:36:29
209,Dzaoudzi,-12.7887,45.2699,82.29,89,20,4.61,YT,2022-04-15 21:36:29
